City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Tairua,NZ,-37.0167,175.85,62.62,76,91,5.41,overcast clouds
193,Greenville,US,35.6127,-77.3663,51.82,91,100,11.5,overcast clouds
194,Toowoomba,AU,-27.55,151.9667,55.26,95,100,8.01,light rain
195,Phan Thiet,VN,10.9333,108.1,78.28,87,100,5.95,overcast clouds
196,Campbell River,CA,50.0163,-125.2446,53.13,54,75,8.05,broken clouds
197,Manyana,BW,-23.4,21.7167,49.96,31,0,7.56,clear sky
198,Longyearbyen,SJ,78.2186,15.6401,15.64,62,75,16.11,broken clouds
199,Alexandria,EG,31.2156,29.9553,68.79,43,2,14.52,clear sky
200,Santiago,CL,-33.4569,-70.6483,63.18,72,100,5.75,mist
201,Acarau,BR,-2.8856,-40.12,78.42,87,100,9.26,overcast clouds
202,Tuatapere,NZ,-46.1333,167.6833,53.37,87,100,2.3,overcast clouds
203,Vero Beach,US,27.6386,-80.3973,85.03,62,0,10.36,clear sky
204,Naze,JP,28.3667,129.4833,70.72,91,98,7.54,overcast clouds
205,Road Town,VG,18.4167,-64.6167,80.69,82,63,13.24,broken clouds
206,Quatre Cocos,MU,-20.2078,57.7625,72.09,87,26,8.32,scattered clouds
207,Edd,ER,13.9297,41.6925,83.53,76,100,5.5,overcast clouds
208,Tezu,IN,27.9167,96.1667,72.41,70,2,4.68,clear sky
209,Margate,GB,51.3813,1.3862,49.3,82,6,3.0,clear sky
210,Airai,TL,-8.9266,125.4092,57.96,89,51,4.18,broken clouds
211,Marawi,PH,7.9986,124.2928,70.45,94,96,1.12,overcast clouds
212,Olga,RU,43.7444,135.2892,49.91,42,5,5.97,clear sky
213,Taoudenni,ML,22.6783,-3.9836,86.32,8,25,10.45,scattered clouds
214,Wanning,CN,18.8003,110.3967,76.44,88,100,3.36,overcast clouds
215,Pacific Grove,US,36.6177,-121.9166,63.55,69,75,13.8,broken clouds
216,Ismailia,EG,30.6043,32.2723,68.07,39,11,12.3,few clouds
217,Umea,SE,63.8284,20.2597,39.9,56,0,4.61,clear sky
218,Ippy,CF,6.2679,21.2247,75.15,75,83,0.96,broken clouds
219,Taltal,CL,-25.4,-70.4833,62.29,70,1,1.77,clear sky
220,Grand Gaube,MU,-20.0064,57.6608,72.37,79,3,3.0,clear sky
221,Hornepayne,CA,49.2138,-84.7705,64.02,26,94,12.66,overcast clouds
222,Victoria,HK,22.2855,114.1577,77.38,82,100,5.99,overcast clouds
223,Kismayo,SO,-0.3582,42.5454,79.88,86,97,13.58,light rain
224,Yuxia,CN,34.0615,108.6291,57.81,96,100,0.92,moderate rain
225,Samarai,PG,-10.6167,150.6667,83.05,80,65,13.44,broken clouds
226,Saint-Louis,SN,16.3333,-15.0,82.04,33,22,9.66,few clouds
227,Labuhan,ID,-6.8844,112.2051,78.67,88,98,3.67,overcast clouds
228,Ulma,DE,48.3984,9.9916,53.4,95,25,5.39,scattered clouds
229,Cabo San Lucas,MX,22.8909,-109.9124,91.71,22,40,11.5,scattered clouds
230,Buala,SB,-8.145,159.5921,83.12,80,98,9.91,moderate rain
231,Kashi,CN,39.4547,75.9797,70.81,24,20,6.71,few clouds
232,Altamont,US,42.2068,-121.7372,40.39,76,75,13.8,broken clouds
233,Arlit,NE,18.7369,7.3853,93.13,17,99,3.65,overcast clouds
234,Kaeo,NZ,-35.1,173.7833,63.32,97,97,8.21,overcast clouds
235,Tazovskiy,RU,67.4667,78.7,32.56,98,100,14.0,light snow
236,Ostrovnoy,RU,68.0531,39.5131,26.24,79,29,7.99,scattered clouds
237,Ust-Tsilma,RU,65.441,52.1498,35.2,97,100,10.16,snow
238,Popondetta,PG,-8.7537,148.2534,81.9,71,97,1.23,overcast clouds
239,Tiksi,RU,71.6872,128.8694,8.01,94,74,4.18,broken clouds
240,Ilulissat,GL,69.2167,-51.1,28.42,69,3,2.3,clear sky
241,Iralaya,HN,15.0,-83.2333,84.29,70,59,10.69,broken clouds
242,Yerbogachen,RU,61.2767,108.0108,27.21,84,100,10.27,overcast clouds
