City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Eslov,SE,2022-05-08 16:29:57,55.8393,13.3039,60.03,39,81,1.03
118,Tabuk,PH,2022-05-08 16:29:57,17.4189,121.4443,76.12,82,13,5.26
119,Pevek,RU,2022-05-08 16:29:58,69.7008,170.3133,24.26,97,100,10.69
120,Avarua,CK,2022-05-08 16:28:43,-21.2078,-159.775,80.65,89,40,6.91
121,Ico,BR,2022-05-08 16:29:59,-6.4011,-38.8622,89.33,44,99,5.48
122,Beringovskiy,RU,2022-05-08 16:29:59,63.05,179.3167,25.03,92,79,10.13
123,Kruisfontein,ZA,2022-05-08 16:30:00,-34.0033,24.7314,58.89,64,26,4.09
124,Poli,TZ,2022-05-08 16:30:00,-3.3333,36.8,64.2,67,89,3.53
125,Saint George,US,2022-05-08 16:25:10,37.1041,-113.5841,73.26,13,0,6.91
126,Bonthe,SL,2022-05-08 16:30:01,7.5264,-12.505,80.08,77,100,3.33
127,Cap-Aux-Meules,CA,2022-05-08 16:30:02,47.3821,-61.8597,42.85,65,20,9.22
128,Alcochete,PT,2022-05-08 16:30:02,38.7553,-8.9609,85.93,35,0,12.66
129,Mount Isa,AU,2022-05-08 16:26:05,-20.7333,139.5,67.77,60,14,9.22
130,Matamoros,MX,2022-05-08 16:25:11,25.5333,-103.25,87.91,13,0,4.61
131,Santa Cruz Del Sur,CU,2022-05-08 16:30:03,20.7147,-77.9956,83.75,65,6,10.92
132,Charters Towers,AU,2022-05-08 16:30:04,-20.1,146.2667,66.81,98,100,12.75
133,Provideniya,RU,2022-05-08 16:30:05,64.3833,-173.3,31.01,98,100,5.57
134,Noumea,NC,2022-05-08 16:27:59,-22.2763,166.4572,75.0,99,98,10.98
135,Puerto Ayora,EC,2022-05-08 16:30:05,-0.7393,-90.3518,78.76,79,9,12.37
136,Mecca,SA,2022-05-08 16:30:06,21.4267,39.8261,86.81,33,0,7.61
137,Bajil,YE,2022-05-08 16:30:07,15.0584,43.2851,88.09,54,31,5.64
138,Coihaique,CL,2022-05-08 16:26:39,-45.5752,-72.0662,52.41,84,59,12.71
139,Kavieng,PG,2022-05-08 16:31:07,-2.5744,150.7967,83.25,73,97,18.05
140,Heidelberg,ZA,2022-05-08 16:31:08,-26.5048,28.3592,49.71,87,73,10.51
141,Long Beach,US,2022-05-08 16:28:00,33.767,-118.1892,65.88,80,100,10.36
142,Kalat,PK,2022-05-08 16:31:09,29.0225,66.5916,71.64,14,13,2.3
143,Kyren,RU,2022-05-08 16:31:09,51.6828,102.1408,36.72,92,100,3.87
144,Salinopolis,BR,2022-05-08 16:31:10,-0.6136,-47.3561,75.36,95,100,2.73
145,Pocone,BR,2022-05-08 16:31:10,-16.2567,-56.6228,91.9,23,6,1.83
146,Zhezkazgan,KZ,2022-05-08 16:31:11,47.8043,67.7144,58.89,26,84,17.65
147,Fortuna,US,2022-05-08 16:31:12,40.5982,-124.1573,49.66,89,100,6.91
148,Alofi,NU,2022-05-08 16:31:12,-19.0595,-169.9187,78.69,89,73,8.05
149,Mahebourg,MU,2022-05-08 16:31:13,-20.4081,57.7,75.49,83,40,5.75
150,Tiksi,RU,2022-05-08 16:31:14,71.6872,128.8694,0.19,99,51,4.21
151,Tuatapere,NZ,2022-05-08 16:31:14,-46.1333,167.6833,50.02,94,60,2.53
152,Salalah,OM,2022-05-08 16:31:15,17.0151,54.0924,84.29,79,20,9.22
153,Hermanus,ZA,2022-05-08 16:31:15,-34.4187,19.2345,59.81,78,62,4.38
154,Yellowknife,CA,2022-05-08 16:28:56,62.456,-114.3525,30.72,80,100,27.63
155,Kalengwa,ZM,2022-05-08 16:31:16,-13.4659,25.0027,68.2,58,38,2.89
156,Smiltene,LV,2022-05-08 16:31:16,57.4244,25.9016,44.98,43,1,12.86
157,Guye,CN,2022-05-08 16:31:17,39.7333,118.4167,46.89,84,100,0.27
158,Thinadhoo,MV,2022-05-08 16:31:17,0.5333,72.9333,84.51,77,78,18.19
159,Hualmay,PE,2022-05-08 16:22:15,-11.0964,-77.6139,69.73,76,48,10.58
160,Port Hedland,AU,2022-05-08 16:31:18,-20.3167,118.5667,69.85,68,82,6.91
161,Vestmannaeyjar,IS,2022-05-08 16:31:18,63.4427,-20.2734,49.19,93,100,27.63
162,Makakilo City,US,2022-05-08 16:31:19,21.3469,-158.0858,73.72,72,20,11.5
163,Mamit,IN,2022-05-08 16:31:20,23.9333,92.4833,70.27,86,93,3.87
164,Chuy,UY,2022-05-08 16:31:20,-33.6971,-53.4616,69.01,54,15,8.5
165,Bhainsdehi,IN,2022-05-08 16:31:21,21.6467,77.6325,91.63,15,19,1.23
166,Khasan,RU,2022-05-08 16:31:21,42.4308,130.6434,45.41,57,4,6.04
167,Kudahuvadhoo,MV,2022-05-08 16:31:22,2.6708,72.8944,84.45,78,54,18.07
168,Pundaguitan,PH,2022-05-08 16:31:23,6.3711,126.1689,78.26,93,100,6.51
169,Kisangani,CD,2022-05-08 16:31:24,0.5167,25.2,73.4,94,100,2.59
170,Pangkalanbuun,ID,2022-05-08 16:31:25,-2.6833,111.6167,75.22,99,100,3.56
171,Araguaina,BR,2022-05-08 16:28:02,-7.1911,-48.2072,89.31,42,100,6.44
172,Dingle,PH,2022-05-08 16:26:11,10.9995,122.6711,80.08,80,43,8.68
173,Saskylakh,RU,2022-05-08 16:31:26,71.9167,114.0833,10.29,92,81,13.42
174,Atuona,PF,2022-05-08 16:31:27,-9.8,-139.0333,78.91,72,48,16.84
175,Eenhana,NA,2022-05-08 16:31:27,-17.4667,16.3333,71.94,30,1,6.55
176,Esperance,AU,2022-05-08 16:29:05,-33.8667,121.9,55.24,42,8,11.7
177,Bongaigaon,IN,2022-05-08 16:31:28,26.4782,90.5568,80.87,62,2,3.85
178,Berlevag,NO,2022-05-08 16:23:32,70.8578,29.0864,32.0,76,94,5.3
179,Hailar,CN,2022-05-08 16:31:29,49.2,119.7,50.83,22,1,11.86
180,Pacific Grove,US,2022-05-08 16:22:00,36.6177,-121.9166,56.88,74,40,13.8
181,Dzhebariki-Khaya,RU,2022-05-08 16:31:29,62.2167,135.8,40.21,89,100,12.41
182,Acajutla,SV,2022-05-08 16:31:30,13.5928,-89.8275,86.9,64,92,7.61
183,Lindsay,US,2022-05-08 16:32:31,36.203,-119.0882,61.75,57,0,8.63
184,Magan,ES,2022-05-08 16:32:31,39.9683,-3.931,82.31,28,52,2.68
185,Kununurra,AU,2022-05-08 16:28:49,-15.7667,128.7333,73.38,38,2,6.91
186,Upernavik,GL,2022-05-08 16:32:32,72.7868,-56.1549,20.82,68,91,5.95
187,Chara,RU,2022-05-08 16:32:32,56.9064,118.2631,37.2,93,100,2.98
188,Vaitape,PF,2022-05-08 16:32:33,-16.5167,-151.75,80.67,79,12,9.48
189,San Cristobal,VE,2022-05-08 16:32:34,7.7669,-72.225,82.58,50,58,8.34
190,Tomatlan,MX,2022-05-08 16:32:34,19.9333,-105.25,88.43,43,14,6.42
191,Hofn,IS,2022-05-08 16:32:34,64.2539,-15.2082,50.02,87,100,4.61
192,Namatanai,PG,2022-05-08 16:32:35,-3.6667,152.4333,80.28,83,99,10.18
193,Broceni,LV,2022-05-08 16:32:35,56.7,22.5333,45.77,44,47,10.33
194,Nanortalik,GL,2022-05-08 16:32:36,60.1432,-45.2371,37.18,90,100,2.71
195,Riyadh,SA,2022-05-08 16:32:15,24.6877,46.7219,87.94,12,0,14.25
196,Severodvinsk,RU,2022-05-08 16:32:36,64.5635,39.8302,42.91,79,97,4.97
197,Kochinda,IN,2022-05-08 16:32:37,21.7333,84.35,82.85,57,72,17.31
198,Luderitz,NA,2022-05-08 16:32:37,-26.6481,15.1594,60.39,62,1,15.9
199,Yining,CN,2022-05-08 16:32:38,29.0361,114.5636,66.49,98,68,0.83
200,Shenjiamen,CN,2022-05-08 16:32:38,29.9576,122.298,60.48,90,8,7.54
201,Baghdad,IQ,2022-05-08 16:30:12,33.3406,44.4009,80.51,19,20,10.36
202,Nkhata Bay,MW,2022-05-08 16:32:39,-11.6066,34.2907,73.51,74,28,1.61
203,Nuevo Progreso,MX,2022-05-08 16:32:39,23.1667,-97.95,89.47,52,11,13.91
204,Kaputa,ZM,2022-05-08 16:32:40,-8.4689,29.6619,73.06,72,86,3.49
205,Karratha,AU,2022-05-08 16:32:40,-20.7377,116.8463,77.36,57,86,5.75
206,Carnarvon,AU,2022-05-08 16:32:41,-24.8667,113.6333,66.27,88,0,5.75
207,Guanica,PR,2022-05-08 16:32:18,17.9716,-66.908,90.99,72,4,15.68
208,Itarema,BR,2022-05-08 16:32:41,-2.9248,-39.9167,80.22,86,100,10.78
209,Pingliang,CN,2022-05-08 16:32:42,35.5392,106.6861,48.96,84,100,0.25
210,Wukari,NG,2022-05-08 16:32:42,7.85,9.7833,90.95,52,100,2.48
211,Tautira,PF,2022-05-08 16:32:43,-17.7333,-149.15,80.35,80,8,8.46
212,Ovsyanka,RU,2022-05-08 16:32:44,55.9575,92.5519,31.23,56,100,3.98
213,Sao Jose De Ribamar,BR,2022-05-08 16:32:44,-2.5619,-44.0542,89.98,74,97,3.22
214,Aquiraz,BR,2022-05-08 16:24:43,-3.9014,-38.3911,84.29,85,100,8.5
215,Bonavista,CA,2022-05-08 16:32:45,48.6499,-53.1147,34.93,67,3,12.82
216,San Policarpo,PH,2022-05-08 16:32:45,12.1791,125.5072,81.68,70,56,11.97
217,Longyearbyen,SJ,2022-05-08 16:32:46,78.2186,15.6401,19.24,58,40,13.8
218,Rabo De Peixe,PT,2022-05-08 16:32:46,37.8,-25.5833,65.71,72,75,8.05
219,Sanandaj,IR,2022-05-08 16:32:47,35.3144,46.9923,57.22,31,40,9.22
220,Chumikan,RU,2022-05-08 16:32:47,54.7183,135.315,29.05,97,64,0.98
221,Hirara,JP,2022-05-08 16:32:48,24.8,125.2833,77.54,85,95,4.56
222,Mongo,TD,2022-05-08 16:32:48,12.1844,18.693,102.78,15,64,5.37
223,Puri,IN,2022-05-08 16:32:49,19.8,85.85,82.92,83,86,13.67
224,Prieska,ZA,2022-05-08 16:32:49,-29.6641,22.7474,62.2,38,23,5.95
225,Bassano,CA,2022-05-08 16:32:49,50.7834,-112.4685,42.03,62,85,7.92
226,Port Elizabeth,ZA,2022-05-08 16:32:50,-33.918,25.5701,63.32,74,75,10.36
227,Mar Del Plata,AR,2022-05-08 16:30:04,-38.0023,-57.5575,72.95,64,0,19.57
228,Kodiak,US,2022-05-08 16:33:51,57.79,-152.4072,44.11,49,0,11.5
229,Torbay,CA,2022-05-08 16:30:20,47.6666,-52.7314,49.28,55,20,11.5
230,Vardo,NO,2022-05-08 16:33:51,70.3705,31.1107,33.78,69,20,10.36
231,Tual,ID,2022-05-08 16:33:52,-5.6667,132.75,84.76,77,100,10.16
232,Pietarsaari,FI,2022-05-08 16:33:52,63.65,22.6833,49.46,41,51,1.01
233,Sigulda,LV,2022-05-08 16:33:53,57.1519,24.8647,47.77,55,1,15.99
234,Uglegorskiy,RU,2022-05-08 16:33:53,48.2427,41.2531,56.86,46,43,7.61
235,Casino,AU,2022-05-08 16:33:54,-28.8667,153.05,59.77,88,100,0.0
236,Severnyy,RU,2022-05-08 16:33:54,50.677,36.5532,66.24,27,0,4.47
237,Shizunai,JP,2022-05-08 16:33:55,42.3339,142.3669,42.48,80,3,6.04
238,Labuhan,ID,2022-05-08 16:33:55,-6.8844,112.2051,80.65,83,100,5.41
239,Omboue,GA,2022-05-08 16:33:56,-1.5746,9.2618,80.04,85,67,7.74
240,Baoqing,CN,2022-05-08 16:33:56,46.3317,132.2111,43.57,48,86,7.29
241,Castro,BR,2022-05-08 16:33:56,-24.7911,-50.0119,67.42,55,17,4.99
242,Meulaboh,ID,2022-05-08 16:24:48,4.1363,96.1285,78.62,86,100,3.85
243,Kandalaksha,RU,2022-05-08 16:33:57,67.162,32.4123,37.38,68,69,5.32
244,Bengkulu,ID,2022-05-08 16:33:57,-3.8004,102.2655,78.08,82,96,3.98
245,Kloulklubed,PW,2022-05-08 16:33:58,7.0419,134.2556,75.7,85,100,18.25
246,Honiara,SB,2022-05-08 16:24:47,-9.4333,159.95,77.31,89,82,7.14
247,Senneterre,CA,2022-05-08 16:33:58,48.3835,-77.2328,61.36,24,7,6.13
248,Yangzhou,CN,2022-05-08 16:33:59,32.3972,119.4358,60.85,72,31,9.6
249,Saint-Philippe,RE,2022-05-08 16:33:59,-21.3585,55.7679,74.79,83,43,8.32
250,Vicuna,CL,2022-05-08 16:34:00,-30.0319,-70.7081,55.13,55,69,5.77
251,Bismil,TR,2022-05-08 16:34:00,37.8486,40.6658,64.13,65,55,3.4
252,Dum Duma,IN,2022-05-08 16:34:01,27.5667,95.5667,75.58,82,3,2.28
253,Banda Aceh,ID,2022-05-08 16:34:01,5.5577,95.3222,81.1,80,100,8.12
254,Padang,ID,2022-05-08 16:34:02,-0.9492,100.3543,78.85,85,99,3.67
255,Humberto De Campos,BR,2022-05-08 16:34:02,-2.5983,-43.4611,83.05,81,99,2.08
256,Ures,MX,2022-05-08 16:34:03,29.4333,-110.4,88.61,14,0,13.35
257,Quatre Cocos,MU,2022-05-08 16:34:03,-20.2078,57.7625,75.31,85,28,10.29
258,Villa Bruzual,VE,2022-05-08 16:34:04,9.3328,-69.1208,89.73,52,40,4.32
259,Sinegorye,RU,2022-05-08 16:34:04,62.0788,150.477,20.28,89,15,6.58
260,San Jeronimo,PE,2022-05-08 16:34:05,-11.9472,-75.2829,62.15,44,63,1.97
261,Uchiza,PE,2022-05-08 16:34:05,-8.4592,-76.4633,80.53,69,99,2.71
262,Morondava,MG,2022-05-08 16:34:06,-20.2833,44.2833,77.92,76,0,12.01
263,San Juan,AR,2022-05-08 16:34:06,-31.5375,-68.5364,71.74,35,99,4.68
264,Taklisah,TN,2022-05-08 16:34:07,36.7833,10.6333,68.41,72,15,18.48
265,Huesca,ES,2022-05-08 16:30:44,42.1362,-0.4087,76.1,37,20,8.05
266,Alice Springs,AU,2022-05-08 16:34:08,-23.7,133.8833,40.55,56,100,0.0
267,Warmbad,NA,2022-05-08 16:34:08,-28.45,18.7333,58.69,39,0,5.1
268,Dunedin,NZ,2022-05-08 16:34:09,-45.8742,170.5036,53.8,90,100,1.01
269,Korla,CN,2022-05-08 16:34:09,41.7597,86.1469,69.35,41,0,15.57
270,Sambava,MG,2022-05-08 16:34:10,-14.2667,50.1667,77.05,87,71,8.01
271,Vostok,RU,2022-05-08 16:34:11,46.4856,135.8833,31.57,89,92,4.43
272,Baie-Comeau,CA,2022-05-08 16:32:40,49.2168,-68.1489,49.68,46,0,11.5
