City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
307,Port Said,EG,68.45,clear sky,31.2565,32.2841,Aracan Hotel
308,Mana,GF,78.04,broken clouds,5.6592,-53.7767,LE SAMANA
310,Pedernales,DO,83.62,clear sky,18.0384,-71.744,Hotel Costa Marina
313,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
316,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
317,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
318,Namibe,AO,73.44,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
321,Metro,ID,76.69,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
322,Faya,SA,68.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
323,Siayan,PH,78.46,light rain,8.2667,123.1,
324,Saint George,US,83.62,haze,37.1041,-113.5841,Best Western Plus Abbey Inn
326,Neuquen,AR,66.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
333,Tulum,MX,86.09,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
334,Faanui,PF,82.11,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
339,Sechura,PE,74.19,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
340,San Patricio,US,87.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
341,Vao,NC,73.44,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
342,Adrar,MR,89.26,scattered clouds,20.5022,-10.0711,
346,Payakumbuh,ID,69.46,overcast clouds,-0.2202,100.6308,Dalimo Homestay
348,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
349,Quelimane,MZ,71.55,clear sky,-17.8786,36.8883,Hotel Flamingo
350,Kalmunai,LK,81.18,moderate rain,7.4167,81.8167,VS Villa
354,Roebourne,AU,75.2,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
356,La Plaine,DM,80.24,overcast clouds,15.3333,-61.25,Citrus Creek Plantation
357,Cayenne,GF,82.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
364,Dingle,PH,78.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
365,Cananeia,BR,67.89,overcast clouds,-25.0147,-47.9267,Pousada Ancoradouro
367,Bubaque,GW,76.48,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
369,Jijiga,ET,67.84,broken clouds,9.35,42.8,RAMAAS HOTEL
370,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
371,Araouane,ML,84.29,clear sky,18.9048,-3.5265,
372,San Pedro,PH,83.32,few clouds,14.35,121.0167,Esquivel's Garden And Resort
374,Kifri,IQ,67.41,few clouds,34.6959,44.9661,میزان کفری
377,Fatehpur,IN,85.19,clear sky,25.9333,80.8,Hotel Bombay Lodge
379,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
384,Tonj,SS,75.04,light rain,7.2737,28.6822,Lakan Hotel
389,Quang Ngai,VN,74.95,overcast clouds,15.1167,108.8,Central Hotel
393,Seydi,TM,81.84,broken clouds,39.4816,62.9137,Seydi oteli
395,Ko Samui,TH,81.77,overcast clouds,9.5357,99.9357,The Passage
397,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
400,Lompoc,US,70.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
401,Kapuskasing,CA,71.69,few clouds,49.4169,-82.4331,Park Inn Motel
402,Mindelo,CV,72.95,few clouds,16.8901,-24.9804,Hotel Gaudi
404,Joao Pinheiro,BR,72.34,few clouds,-17.7425,-46.1725,Hotel Santos
407,Bambanglipuro,ID,77.68,overcast clouds,-7.95,110.2833,Puri Brata
409,Paraiso,CR,71.42,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
410,Tena,EC,78.96,light rain,-0.9833,-77.8167,Hostal Tena Ñaui
411,Sattahip,TH,84.16,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
414,Awbari,LY,70.07,clear sky,26.5921,12.7805,فندق أوباري
422,Port Keats,AU,73.94,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
424,Den Chai,TH,78.75,overcast clouds,17.9837,100.0522,Ruean Saen Hotel
429,Camopi,GF,72.97,overcast clouds,3.1655,-52.3158,La pousada
430,Hualmay,PE,65.48,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
431,Mpanda,TZ,65.62,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
434,Biak,ID,78.82,overcast clouds,-0.9131,122.8766,Penginapan Kim
435,Ashqelon,IL,65.82,clear sky,31.6693,34.5715,Leonardo Ashkelon
436,Anisoc,GQ,71.89,overcast clouds,1.8658,10.7689,
437,Morondava,MG,73.42,clear sky,-20.2833,44.2833,La Case Bambou
439,Parauna,BR,73.9,clear sky,-16.9478,-50.4486,Hotel Serras de Paraúna
440,Alindao,CF,74.28,light rain,5.0267,21.2088,OCHA Alindao
443,Houma,US,91.0,few clouds,29.5958,-90.7195,Courtyard by Marriott Houma
445,Kampong Cham,KH,78.4,overcast clouds,11.9934,105.4635,7 Makara Hotel
446,Ormara,PK,80.87,clear sky,25.2088,64.6357,Kenara Colony house for Rent
448,Hit,IQ,67.95,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
449,Gamba,GA,77.52,broken clouds,-2.65,10.0,
450,Soure,BR,76.28,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
451,Gilgit,PK,69.42,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
453,Carutapera,BR,74.57,moderate rain,-1.195,-46.02,Lidera
455,Vilhena,BR,80.82,few clouds,-12.7406,-60.1458,Hotel Mirage
456,Vaitape,PF,82.44,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
457,Bara,NG,88.68,scattered clouds,10.3744,10.7288,
463,Hami,CN,65.89,few clouds,42.8,93.45,Laoyutang Resort
465,Adeje,ES,72.21,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
466,Dzilam Gonzalez,MX,89.53,clear sky,21.2833,-88.9333,posadas
468,Zunyi,CN,65.5,overcast clouds,27.6867,106.9072,Bishiluo Hostel
471,Cap Malheureux,MU,72.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
474,Saltpond,GH,81.12,light rain,5.2091,-1.0606,Mfantseman Beach Resort
479,Rahuri,IN,85.19,broken clouds,19.3833,74.65,P.W.D RESTHOUSE
481,Yeppoon,AU,69.58,light rain,-23.1333,150.7333,Villa Mar Colina
484,Jawhar,SO,79.56,broken clouds,2.7809,45.5005,hantiwadaag village part one
485,General Luna,PH,80.17,scattered clouds,13.6881,122.1708,Pelobello Ancestral House
487,Payo,ID,73.26,overcast clouds,-3.7508,103.6372,Mess keban agung
488,San Juan,AR,69.8,overcast clouds,-31.5375,-68.5364,Hotel Provincial
489,Kavaratti,IN,85.44,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
491,Todos Santos,MX,73.38,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
492,Maneadero,MX,65.1,few clouds,31.7167,-116.5667,Casa De Thompson
493,Atambua,ID,75.42,few clouds,-9.1061,124.8925,Kost Alfa Flat
